mcc+mnc;operador;pais
42402;Etisalat;Emiratos Arabes Unidos
42403;DU;Emiratos Arabes Unidos
42501;Orange;Israel
42502;Cellcom;Israel
42503;Pelephone;Israel
42505;Jawwal;Palestina
42506;Wataniya Mobile;Palestina
42601;Batelco;Bahrein
42604;VIVA;Bahrein
42701;Qtel;Qatar
42702;Vodafone;Qatar
42888;Unitel;Mongolia
42901;NTC Mobile;Nepal
42902;Spice;Nepal
43211;MCI;Iran
43404;Unitel;Uzbekistan
43405;Coscom;Uzbekistan
43601;Indigo;Tayikistan
43602;Indigo;Tayikistan
43604;Babilon;Tayikistan
43605;Tacom;Tayikistan
43705;Bimocom/Megacom;Kirguistan
43709;NUR;Kirguistan
43801;BCTI;Turkmenistan
43802;Tmcell;Turkmenistan
44010;NTT Docomo;Japon
44050;KDDI;Japon
44051;KDDI;Japon
45002;KT;Corea S
45005;SKTelecom;Corea S
45006;LGUPlus;Corea S
45008;KT;Corea S
45201;VMS / Mobifone;Vietnam
45202;Vinaphone;Vietnam
45204;Viettel;Vietnam
45205;Vietnamobile;Vietnam
45207;Beeline;Vietnam
45400;Hong Kong CSL;Hong Kong
45402;Hong Kong CSL;Hong Kong
45403;Hutchinson;Hong Kong
45404;Hutchinson;Hong Kong
45406;SmarTone Mobile;Hong Kong
45410;New World;Hong Kong
45412;China Mobile;Hong Kong
45416;SUNDAY;Hong Kong
45418;Hong Kong CSL;Hong Kong
45419;SUNDAY;Hong Kong
45501;CTM;Macao
45503;Hutchinson/T-Systems;Macao
45602;Latelz;Camboya
45604;Cadcom;Camboya
45605;Applifone;Camboya
45606;Latelz;Camboya
45608;Mfone;Camboya
45618;Mfone;Camboya
45701;Laos Telecom;Laos
45708;Millicom / Tigo;Laos
46000;China Mobile;China
46001;China Unicom;China
46002;China Mobile;China
46007;China Mobile;China
46009;China Unicom;China
46601;Far EasTone;Taiwan
46688;Far EasTone;Taiwan
46689;Vibo;Taiwan
46692;Chunghwa;Taiwan
46693;Taiwan Mobile;Taiwan
46697;Taiwan Mobile;Taiwan
46699;Taiwan Mobile;Taiwan
47001;Grameenphone;Bangladesh
47003;Banglalink;Bangladesh
47007;Warid Telecom;Bangladesh
47202;AT&T Wataniya;Maldivas
50212;Maxis;Malasia
50213;Celcom TM Touch;Malasia
50216;Digi;Malasia
50218;UMobile(MTV3G);Malasia
50219;Celcom TM Touch;Malasia
50501;Telstra;Australia
50502;SignTel;Australia
50503;Vodafone;Australia
51001;PT. Satelindo;Indonesia
51008;Axis;Indonesia
51010;PT Telkomsel;Indonesia
51011;XL;Indonesia
51021;INDOSAT-M3;Indonesia
51089;Hutchinson 3;Indonesia
51502;Globe Telecom;Filipinas
51503;SMART;Filipinas
51505;Digitel (SUN Cellular);Filipinas
52000;True Move;Tailandia
52001;AIS;Tailandia
52003;AWN;Tailandia
52004;Real Future;Tailandia
52005;Dtac;Tailandia
52018;DTAC;Tailandia
52099;True Move;Tailandia
52501;Singtel;Singapur
52502;Singtel;Singapur
52505;Starhub;Singapur
52802;B-MOBILE;Brunei
53001;Vodafone;Nueva Zelanda
53024;NZL / Two Degrees;Nueva Zelanda
53703;Digicel;Papua Nueva Guinea
53988;Digicel;Tonga
54101;Telecom TVL;Vanuatu
54105;Digicel;Vanuatu
54202;Digitel;Fiji
54601;Mobilis;Nueva Caledonia
54715;Pacific Mobile;Francia
54720;Vini;Francia
54801;Telecom Cook Island;Cook Island
54927;Samoatel;Samoa
60201;Mobinil(ECMS);Egipto
60202;Vodafone;Egipto
60203;ETISALAT;Egipto
60301;ATM;Argelia
60302;Djezzy;Argelia
60303;Wataniya Telecom;Argelia
60400;Medi Telecom;Marruecos
60401;IAM (Itissalat);Marruecos
60402;Wana;Marruecos
60501;Orange;Tunez
60502;Tunisie Telecom ;Tunez
60503;Orascom;Tunez
60506;Tunisie Telecom ;Tunez
60601;Al Madar;Libia
60701;Gamcel;Gambia
60702;Africell;Gambia
60703;Comium;Gambia
60801;Orange;Senegal
60802;Sentel;Senegal
60901;MATTEL;Mauritania
60910;Mauritel;Mauritania
61002;Orange;Mali
61101;Orange;Guinea
61103;Intercel;Guinea
61202;Moov /telecel;Costa de Marfil
61203;Orange;Costa de Marfil
61205;MTN;Costa de Marfil
61301;Onatel (Telmob);Burkina Faso
61403;Telecel;Niger
61404;Orange;Niger
61503;Moov /telecel;Togo
61601;Libercom;Benin
61602;Etisalat;Benin
61701;Cellplus (Orange);Isla Mauricio
61703;MTML;Isla Mauricio
61710;Emtel;Isla Mauricio
61801;LONESTAR;LIBERIA
61807;Celcom (AT&T);Liberia
61904;Comium;Sierra Leona
62002;One Touch;Ghana
62006;Airtel;Ghana
62120;Econet;Nigeria
62130;MTN;Nigeria
62160;Etisalat;Nigeria
62203;MIC;Chad
62303;Orange;Centroafricana Rep.
62402;Orange;Camerun
62501;CVMOVEL;Cabo Verde
62502;T Cap Verd;Cabo Verde
62601;CST;Sao Tome and Principe
62701;Orange;Guinea Ecuatorial
62802;Telecel;Gabon
62803;Celtel;Gabon
62910;MTN;Congo
63001;Vodacom;Congo Rep. Dem.
63002;Celtel;Congo Rep. Dem.
63086;Orange;Congo Rep. Dem.
63089;Orange;Congo Rep. Dem.
63102;Unitel;Angola
63104;Movicell;Angola
63202;MTN;Guinea Bissau
63203;Orange;Guinea Bissau
63301;C&W;Seychelles
63310;Airtel;Seychelles
63402;Aareba / MTN;Sudan
63510;MTN;Ruanda
63512;Rwandatel;Ruanda
63513;Tigo;Ruanda
63601;ETC;Etiopia
63902;Safaricom;Kenia
63903;KenCell;Kenia
63905;Essar Telecom;Kenia
63907;Orange;Kenia
64003;Zantel;Tanzania
64004;Vodacom;Tanzania
64005;Celtel Zain;Tanzania
64111;Uganda Telecom Limited (UTL);Uganda
64114;Orange;Uganda
64122;Warid Telecom;Uganda
64202;Africell;Burundi
64282;Telecel;Burundi
64301;MCELL;Mozambique
64303;Movitel;Mozambique
64304;Vodacom;Mozambique
64502;MTN;Zambia
64503;Cellz(Zamtel);Zambia
64601;Madacom / ZAIN;Madagascar
64602;Orange;Madagascar
64604;Telma;Madagascar
64700;Orange;Reunion/ Mayotte
64801;NetOne;Zimbabwe
64803;Telecel;Zimbabwe
64804;ECONET;Zimbabwe
64901;MTC;Namibia
64903;Leo (Cellone);Namibia
65001;TNM Telekom;Malawi
65202;Orange;Botswana
65310;MTN;Swazilandia
65501;Vodacom;Sudafrica
65507;CELL C;Sudafrica
65510;MTN;Sudafrica
70267;BLT;Belice
70401;Claro;Guatemala
70403;Movistar;Guatemala
70601;CTE Personal;El Salvador
70602;Digicel;El Salvador
70604;Telefonica Moviles;El Salvador
70800;Megatel;Honduras
70802;Tigo;Honduras
70840;Digicel;Honduras
71021;Enitel;Nicaragua
71030;Telefonica Moviles;Nicaragua
71201;ICE;Costa Rica
71203;Claro;Costa Rica
71204;Telefonica;Costa Rica
71401;C&W;Panama
71402;Movistar;Panama
71403;Claro;Panama
71606;Movistar;Peru
71607;Nextel;Peru
71610;Claro;Peru
71617;Entel;Peru
72207;Telefonica Moviles;Argentina
72231;Claro;Argentina
72234;TelecomPersonal;Argentina
72400;Nextel;Brasil
72402;TIM Brasil;Brasil
72403;TIM Brasil;Brasil
72404;TIM Brasil;Brasil
72405;Claro;Brasil
72406;VIVO;BRASIL
72410;VIVO;BRASIL
72411;VIVO;BRASIL
72416;14 Brasil Telecom;Brasil
72423;VIVO MG;BRASIL
72424;Amazonia Celular;Brasil
72431;TNL PCS;Brasil
73001;Entel;Chile
73002;Movistar;Chile
73003;Claro;Chile
73008;VTR;Chile
73210;Comcel;Colombia
73211;Colombia Movil;Colombia
73212;Movistar;Colombia
73402;Digitel;Venezuela
73404;Movistar;Venezuela
73406;Movilnet;Venezuela
73601;Nuevatel;Bolivia
73602;Entel;Bolivia
73603;Telefonica Cell;BOLIVIA
73801;U-Mobile/Digicel;Guyana
74000;Telefonica Ecuador;Ecuador
74001;Conecel;Ecuador
74002;CNT;Ecuador
74401;Hola;Paraguay
74402;Claro;Paraguay
74404;Tigo;Paraguay
74602;Telesur;Surinam
74801;Antel;Uruguay
74807;Movistar;Uruguay
74810;Claro;Uruguay
90105;Thuraya;Emiratos Arabes Unidos
90112;MCP;Noruega
90114;AeroMobile;Noruega
90115;OnAir;Maritime
90119;Vodafone;Malta
90121;Seanet;Suecia
90126;TIM;Italia
90128;Vodafone M2M Malta;Malta
90131;Orange M2M;Francia
90137;Transatel;Francia
90139;MTX Connect;Luxemburgo
90140;Telekom Deutschland;Alemania
90143;EMnify GmbH;Alemania
